O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
4,4,4,3,3,4,4,4,4,4,Frontend Developer
4,5,3,4,2,4,5,4,3,4,Frontend Developer
3,4,4,4,3,4,3,5,4,5,Frontend Developer
5,4,5,3,2,4,4,4,5,4,Frontend Developer
4,3,4,5,3,3,5,4,4,4,Frontend Developer
3,4,4,3,4,4,3,4,5,3,Frontend Developer
4,4,3,4,3,5,4,4,3,4,Frontend Developer
3,5,4,3,3,4,4,4,4,4,Frontend Developer
5,4,5,3,2,3,5,4,4,5,Frontend Developer
4,3,3,4,4,5,4,4,3,4,Frontend Developer
4,4,4,3,3,4,4,5,4,4,Frontend Developer
4,5,3,3,2,3,4,4,5,4,Frontend Developer
3,4,4,4,3,4,5,4,4,3,Frontend Developer
5,4,5,3,2,4,4,4,3,4,Frontend Developer
4,3,4,5,3,4,5,4,4,3,Frontend Developer
4,4,3,4,3,4,4,4,5,4,Frontend Developer
3,5,4,3,3,4,4,4,4,5,Frontend Developer
4,4,5,3,3,5,4,4,4,4,Frontend Developer
4,4,4,3,2,4,4,4,4,5,Frontend Developer
5,4,3,4,3,4,5,4,4,4,Frontend Developer
4,3,4,3,3,5,4,5,4,4,Frontend Developer
4,5,3,4,3,4,4,4,3,4,Frontend Developer
4,4,4,3,2,4,4,5,4,4,Frontend Developer
3,5,4,3,3,3,4,4,4,4,Frontend Developer
4,4,5,4,3,4,4,5,4,4,Frontend Developer
5,4,4,3,2,3,4,4,4,5,Frontend Developer
4,3,4,3,3,4,5,4,3,4,Frontend Developer
4,5,3,4,3,4,4,4,4,5,Frontend Developer
4,4,4,4,3,5,4,4,4,4,Frontend Developer
3,5,4,3,3,4,4,5,4,4,Frontend Developer
4,4,4,3,2,4,4,4,5,4,Frontend Developer
3,4,3,4,3,4,3,3,4,3,Backend Developer
3,5,2,4,3,4,3,4,4,3,Backend Developer
4,4,3,3,3,5,3,3,4,3,Backend Developer
3,4,3,5,3,4,4,3,4,4,Backend Developer
3,5,3,3,2,5,3,3,4,2,Backend Developer
2,4,4,3,3,4,3,3,5,3,Backend Developer
3,4,3,4,4,4,2,3,4,3,Backend Developer
4,4,3,3,3,5,3,4,3,3,Backend Developer
3,5,2,3,4,4,3,3,4,3,Backend Developer
3,4,3,4,3,5,2,3,4,3,Backend Developer
3,4,3,4,2,4,3,3,4,3,Backend Developer
3,5,3,3,3,4,3,3,5,3,Backend Developer
3,4,4,3,3,4,2,3,4,3,Backend Developer
4,4,3,4,3,4,3,3,4,3,Backend Developer
3,4,2,4,3,5,2,3,4,3,Backend Developer
3,5,3,4,3,4,3,3,4,3,Backend Developer
3,4,3,3,2,5,3,4,4,3,Backend Developer
3,4,4,3,3,5,3,4,3,3,Backend Developer
2,4,3,4,3,4,3,3,4,3,Backend Developer
3,5,4,3,3,4,3,3,4,4,Backend Developer
4,3,3,4,3,4,3,4,5,3,Backend Developer
3,4,3,4,3,5,3,3,4,4,Backend Developer
3,4,4,3,3,4,3,3,5,3,Backend Developer
3,5,3,3,3,4,3,3,4,3,Backend Developer
3,4,3,4,3,4,2,3,5,3,Backend Developer
3,4,2,4,3,4,3,3,4,3,Backend Developer
3,4,3,4,3,5,3,4,4,3,Backend Developer
4,4,3,3,3,5,3,4,4,4,Backend Developer
3,5,3,4,2,4,3,3,4,3,Backend Developer
3,4,3,4,3,4,3,3,5,3,Backend Developer
3,4,3,4,3,5,2,3,4,4,Backend Developer
4,4,3,4,3,4,3,4,4,3,Backend Developer
3,4,3,3,3,5,3,3,4,3,Backend Developer
3,5,4,3,3,4,2,3,4,3,Backend Developer
4,3,3,5,3,5,3,4,5,3,AI and ML
4,4,3,5,2,5,4,4,5,3,AI and ML
5,3,2,5,4,5,3,4,5,4,AI and ML
4,4,3,5,3,5,4,4,5,3,AI and ML
4,3,4,5,3,4,3,5,4,3,AI and ML
5,4,3,5,3,5,4,4,5,2,AI and ML
3,4,3,5,3,5,3,4,5,3,AI and ML
4,3,3,5,4,5,4,3,5,3,AI and ML
4,5,2,5,3,5,3,4,5,2,AI and ML
5,4,3,5,2,5,3,4,4,3,AI and ML
4,4,3,5,3,4,4,5,5,3,AI and ML
3,4,3,5,3,5,3,4,5,3,AI and ML
4,4,2,5,3,5,3,4,5,4,AI and ML
4,5,3,4,3,5,3,4,5,3,AI and ML
5,4,3,5,2,5,4,3,5,3,AI and ML
4,4,3,5,3,5,3,4,5,3,AI and ML
5,4,3,5,3,5,3,4,5,3,AI and ML
4,4,2,5,4,5,3,4,5,3,AI and ML
3,3,3,5,3,5,3,4,5,3,AI and ML
4,4,2,5,3,5,4,4,5,3,AI and ML
5,4,3,5,3,5,3,4,5,2,AI and ML
4,4,3,5,3,5,3,4,4,3,AI and ML
4,3,4,5,2,5,4,3,5,3,AI and ML
5,4,3,5,3,5,4,4,5,3,AI and ML
3,5,2,5,4,5,4,3,5,3,AI and ML
4,3,3,5,2,5,3,4,5,3,AI and ML
4,5,3,5,3,5,4,3,5,3,AI and ML
3,4,3,5,3,5,3,4,5,3,AI and ML
4,4,2,5,3,5,3,4,5,3,AI and ML
5,4,3,5,3,5,3,4,5,3,AI and ML
4,3,3,5,4,5,3,4,5,3,AI and ML
3,4,3,4,3,4,3,4,4,3,Cybersecurity
3,4,4,4,3,5,3,4,4,3,Cybersecurity
3,5,3,4,3,4,4,3,4,3,Cybersecurity
3,4,3,4,2,5,3,4,5,4,Cybersecurity
